playlist_name,playlist_id,title,video_id,date,length,nview,nlike,ndislike
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: The Sludge Fields - Ep. 4! (World of Warcraft Playthrough),tlzYuY0j_Us,2016.7.5,2400,12807,475,4
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: An Honorable Kill - Ep. 5! (WoW Playthrough),nVwBlDRmj0c,2016.7.8,2256,11312,355,3
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: Lost in Azeroth - Ep. 6! (Warcraft Playthrough),2op3nnqMQYI,2016.7.11,1714,9440,329,6
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: The Great Forest - Ep. 7! (WoW Playthrough),mtoY9PjW6no,2016.7.14,2195,9371,269,4
Let's play World of Warcraft,PLT0hfPWJS6_sJmK5m_4R99RIswmKSO8_g,World of Warcraft: A Change Of Plans - Ep. 8! (Let's Play WoW),Y-4HdfdDi5g,2016.7.19,2512,667,73,3
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Ana Knows Best! (Brawl Gameplay),lxHXtUdt-Xg,2016.7.18,1205,15819,481,12
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Ana Gameplay!,ufjirG0zREo,2016.7.15,1447,37788,858,26
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Okami Hanzo Gameplay!,RXjqQepvT2c,2016.7.13,1560,21592,559,34
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Ifrit Zenyatta Gameplay! (Overwatch Quick Match),vDWsKvvgzq4,2016.7.10,1168,24458,572,15
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: A-Mei-Zing! (Mei Gameplay),yceZ6Fskm2o,2016.7.8,997,20180,562,13
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch Brawl: Show Your Support!,J4LXNoWBvo0,2016.7.6,1923,21247,509,4
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Hippityhop Lucio Gameplay! (Overwatch Legendary Skin),i7dyrmSrdy0,2016.7.4,1127,29614,612,7
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Sudden Death Frustrations! (Competitive Play),Y7gVPekn0I4,2016.7.2,1834,27776,659,20
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Aerial Superiority! (Pharah & Mercy),-lAvTdIi5sM,2016.6.30,1262,23665,461,16
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Competitive Play Is Here! (Ranked Gameplay),d4APojz1Czo,2016.6.29,526,37649,899,18
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Safari Winston Gameplay! (Overwatch Quick Match),aRjKlHw-kp0,2016.6.28,1902,22858,483,11
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: The True Enemy To Humanity! (Symmetra Gameplay),kZ7tAq0AqNo,2016.6.25,1025,33411,808,21
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Plague Doctor Reaper Gameplay! (Overwatch Game),WiYMd0QIdH0,2016.6.26,968,47958,814,41
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Bloodhardt Reinhardt Gameplay! (Overwatch Quick Match),8x-UsE_q-Yo,2016.6.24,1809,28844,556,18
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch Competitive Play: Quintuple Kill! (Overwatch Gameplay),y4CEFmyMCGA,2016.6.22,1288,71086,1157,72
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Gold Weapons Revealed! (Cosmetic Rewards),55zJ4RFIN84,2016.6.21,195,31838,737,13
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: The Future of the Game!,Hxyqu-mMO4U,2016.6.20,490,27021,759,16
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Chopper Torbj̦rn Gameplay! (Overwatch Quick Match),N-P723Vaq5E,2016.6.18,920,25661,617,21
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Twelve Soldier: 76! (Overwatch Brawl),NfxUjzt-tCY,2016.6.17,1179,23712,497,16
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: McCree & Widowmaker NERFS!,E8WQ2JPopw4,2016.6.15,573,24723,700,5
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Islander Roadhog Gameplay! (Overwatch Quick Match),U1Istg5kmmI,2016.6.14,1315,41055,726,27
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: More Loot Boxes! (Legendary Skins),_6D1G3cWdPM,2016.6.14,784,182671,2087,288
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Fool Junkrat Gameplay! (Overwatch Gameplay),sBk7W1yiPso,2016.6.12,1064,38933,709,29
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Sigr̼n Mercy Gameplay! (Mercy Play of the Game),zdB3PWi1984,2016.6.10,1131,34057,589,30
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch Brawl: More Mystery Heroes! (Gameplay),_EXnzM5dipg,2016.6.9,1515,30630,545,15
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Fan The Hammer! (McCree Gameplay),aK67vptkOoU,2016.6.8,1391,28960,532,15
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: On A Win Streak With Reaper! (Reaper Gameplay),35dxJ1JBgas,2016.6.6,1265,32987,695,31
Overwatch,PLT0hfPWJS6_vcEXUhvxuzNvPt3V2fJEZm,Overwatch: Winston is on Fire! (Winston Gameplay),bebOJuJm0kU,2016.6.5,1562,43658,677,22
